	log2FC	FDR
YNL103W	-0.074287586	0.712429947
YHL031C	0.079325605	0.761768915
YBL067C	-0.034180105	0.818775653
YMR323W	-0.193632019	
YPR113W	0.190579014	0.142815812
YDR084C	-0.022027418	0.910082925
YDR262W	0.19971468	0.080815245
YAL047C	-0.223306556	0.087661689
YOR330C	-0.112900581	0.390784526
YPL140C	-0.04425735	0.803925168
YDR040C	0.492007416	0.025690586
YDL216C	-0.080425143	0.646496017
YDL175C	-0.050461128	0.824868907
YLR276C	0.127485727	0.211444064
YFR003C	-0.000128788	0.999337168
YLR014C	-0.385287661	0.014728283
YOR134W	0.667445451	2.41e-06
YKL091C	0.108286276	0.462114318
YJL065C	0.0450379	0.89621652
YDR332W	-0.006886623	0.975741393
Q0182		
YKR008W	0.034078049	0.798998434
YBR297W	0.374764789	0.000276225
YIR030C	-0.133927957	0.553749965
YKL032C	0.116954239	0.507544754
YHR129C	0.033397754	0.893609085
YDR379W	-0.19982007	0.041331713
YDR162C	0.032287501	0.863215276
YNL108C	-0.280273846	0.547533372
YJL077C	0.563318263	0.00454529
YOR063W	0.025755782	0.919531046
YHR050W	-0.150126943	0.165273266
YDR020C	0.256007944	0.048797823
YLR126C	0.072598424	0.741547675
YJR129C	0.026557204	0.925670953
YER004W	0.036692409	0.856033589
YLL064C		
YJL172W	0.020443141	0.920967044
YIL149C	0.010996668	0.95797091
YBR012W-B	0.167728816	0.81324345
YPL020C	-0.072247718	0.684381649
YDL173W	-0.009735537	0.97053997
YGL038C	-0.256866084	0.00172327
YBR166C	0.055957622	0.728635015
YGL047W	0.054383014	0.789562142
YER019C-A	0.148558395	0.601507674
YPR026W	0.010217485	0.961690723
YNL090W	0.045112258	0.910082925
YPR159C-A	1.228029721	0.547533372
tE(UUC)L	0.792394778	
YLL053C	-1.717668995	5.92e-28
YKL034W	-0.249881952	0.062271294
YPR192W	0.293269719	0.432649354
YPR046W	-0.09222682	0.740435909
YLR379W	-0.087580938	0.859137813
YER147C-A	0.068984165	0.855813719
YER119C	-0.007784862	0.980664934
YIL129C	-0.026931486	0.821999837
YPL022W	-0.043759654	0.762127808
YDR261W-A		
YBL059C-A	-0.00727772	0.986223469
YJR098C	-0.020550392	0.919820057
YGR121W-A	0.128357225	0.869137995
YPL281C		
YBR208C	-0.048721923	0.804442465
YDL159C-B		
YPR173C	0.073266235	0.537003067
YNL025C	-0.032430381	0.884326461
YGR198W	-0.092609499	0.710811088
YJL197W	-0.177810853	0.144552268
YJL057C	-0.12390209	0.325836905
YER059W	0.072514231	0.571988727
YDR041W	0.089402964	0.643873423
YIL017C	-0.174883218	0.109426315
YLR293C	0.009638745	0.963191101
YOR170W	-0.225714775	0.703728594
YCR038W-A		
YGL204C	0.227938407	0.391543995
YBR191W-A	0.012480672	0.984477947
YDR343C	0.110180256	0.789562142
YDR249C	0.000446741	0.998672838
YLR347W-A		
YMR310C	-0.146487241	0.627360045
YER008C	-0.073887536	0.603621965
YOR210W	0.115989398	0.742611294
YJL054W	0.042783041	0.756370267
YPR193C	-0.748375806	0.030899523
YOR236W	-0.105518878	0.651065812
YPL012W	-0.054959733	0.769578134
YBR230C	-0.011692099	0.962576229
YOL022C	0.120859376	0.269565583
YLR238W	-0.199376904	0.165354211
YLR025W	0.105565856	0.61174088
YGR091W	0.077596186	0.587372641
YPL015C	-0.178121898	0.160753112
YHL030W	-0.181960203	0.288119558
YJR052W	0.016241113	0.922003576
YJL020W-A		
YCR091W	-0.004190497	0.982822043
YLR002C	0.07473526	0.587095566
YCL029C	-0.080463476	0.658391579
YIL102C-A	0.081917181	0.804442465
YFL047W	-0.103314065	0.525489453
YDR472W	0.040938477	0.82525324
YLR302C	2.597805104	
YGR204W	0.02699572	0.890318831
YDR257C	0.042222516	0.804442465
YKR014C	0.056571518	0.788072527
YBR093C	-0.632465017	3.6e-20
YCR105W	-0.036218341	0.909560937
YPL167C	0.04130087	0.778268322
YER084W-A	-0.075448005	0.976880499
YOR106W	0.049546507	0.793476254
YNR012W	0.008816493	0.971414417
YOL071W	0.022265294	0.928760268
YJL158C	-0.028453216	0.863930226
YJR057W	0.159825929	0.336054544
YGR097W	-0.157190541	0.275336408
YPL233W	0.100711127	0.603360394
YNL033W	-0.164829018	0.886264366
YML025C	-0.081293399	0.597363593
YML094C-A	-0.455494925	0.739257409
YJL100W	-0.249576684	0.089052933
YGR122C-A	-0.218993092	0.685844986
YGL125W	-0.335967776	0.0070085
YHR070C-A	0.199218623	0.684743856
YOR148C	0.158252064	0.479466581
YDR183W	0.179451758	0.294331068
YOL156W	0.093490139	0.856033589
YLR412W	0.050583071	0.785739855
snR46	0.268288233	0.34071298
YGL179C	-0.438716667	0.003491083
tE(UUC)Q		
YOL004W	-0.075382719	0.698874927
YBL091C-A	0.122057981	0.445389551
tK(CUU)F	0.846536649	
YOR053W	0.191537781	0.803312719
YHR112C	-0.0109684	0.958552687
YHR001W-A	-0.082537494	0.78512545
YJL042W	-0.069263045	0.737029254
tL(UAA)Q		
YBR154C	0.120457188	0.536713576
YHL026C	-0.313151087	0.16433988
YDR088C	-0.029135885	0.867044748
YGR048W	-0.068244559	0.682894148
YMR092C	-0.049125408	0.707896884
YOR371C	-0.161016048	0.538531434
YLL039C	0.094504558	0.693885291
YLR123C	0.431189212	0.217812021
YML133C	-0.03026056	0.983551278
YCR087W	0.062906722	0.907545399
YDR274C	0.091827082	0.782982559
YNL282W	-0.231461553	0.467869743
YNR057C	-0.141055642	0.622332742
YOR251C	0.019543689	0.910082925
YBL070C	0.001635066	0.998672838
YDR537C	-0.139839361	0.837123785
YDL198C	-0.274998116	0.007756689
YLL018C-A	-0.485088029	0.005985082
Q0250		
YLR228C	0.164059531	0.393649536
tE(CUC)D		
YLL067W-A		
YGR007W	-0.018526872	0.910082925
YMR213W	-0.297891013	0.018985905
YPL268W	-0.075128964	0.622366015
YOR192C	-0.234287345	0.409890192
YOR343C	-0.743513409	0.036911218
tT(AGU)D	0.690497392	0.734530312
YDL210W	-0.109328582	0.683943939
YOR258W	0.180975808	0.286674184
YMR224C	-0.280633603	0.030423464
snR82	0.091323573	0.825710227
YJR043C	-0.199941011	0.311823753
YDL063C	0.054959956	0.776769353
YAL047W-A	-0.927509437	
RDN18-1		
YHR104W	-0.030405101	0.882135299
YAL007C	-0.025874978	0.893425537
YPL094C	0.116916668	0.474125802
YJL122W	0.104393452	0.565737897
YIR034C	-0.089764955	0.678304467
YGL121C	0.107493214	0.627328659
YPR023C	-0.135784442	0.230193599
YFR053C	0.130839558	0.78512545
YAR008W	0.144990208	0.349057387
YLL050C	0.019443568	0.938445597
YOL128C	0.029267031	0.893403372
YLR096W	-0.021259587	0.912442519
YHL002C-A	-0.866887317	0.604585262
YCR067C	-0.141603335	0.272712838
YOR039W	0.037861198	0.830422217
YGR027C	0.097918577	0.787473525
YIL109C	-0.03617325	0.863215276
YOR175C	0.086125734	0.436669971
YHL002W	-0.097636542	0.540694483
YDR543C	-0.622310381	
YKL056C	0.054374539	0.879032362
YML032C	-0.376479461	0.001497774
YOL034W	0.034773303	0.879032362
YFL038C	0.103691839	0.735732728
YLR105C	0.058189253	0.74115582
YPL041C	0.52785436	0.025228805
YOR296W	0.018724222	0.904430661
YDR542W	-0.644027533	
YCR017C	0.048029351	0.719487362
snR84	0.146640951	0.490931289
YDL141W	-0.162498672	0.458731934
YIR026C	0.083266025	0.604453134
YGL183C	-0.141290925	0.804442465
YBR193C	0.023755686	0.910082925
YNL225C	0.065026164	0.690837855
YFL027C	0.126813198	0.407311926
YNL309W	-0.099395766	0.788371739
YMR257C	-0.246205046	0.012433077
tG(GCC)P1	1.525284336	
YJL151C	0.006672093	0.983850726
YMR061W	0.155296098	0.057805101
YOR062C	-0.113417546	0.598394326
YNL104C	-0.192770964	0.02567339
RDN37-1		
YDL090C	0.099723812	0.476678411
YBR009C	0.090618887	0.818057282
YOL044W	0.119748504	0.400994095
YGL109W	0.095070324	0.791611198
YDL061C	0.060519219	0.867868829
YOR198C	-0.001506345	0.993689586
YHR145C	2.401303828	0.156218163
YDR124W	-0.341113168	0.062305761
YDR392W	0.045250799	0.803312719
YAL031W-A	-0.303250825	0.575490678
YOR060C	-0.257299192	0.110414366
YDR316W	0.085144674	0.57133603
YML054C	0.295829277	0.003410892
YPL071C	0.035074172	0.875971749
YAR060C		
YGL042C	-0.051303777	0.862283622
YKR076W	0.032222666	0.871346594
YER050C	0.088353078	0.785739855
tN(GUU)L	-0.485174164	
YGR266W	-0.031385432	0.894265065
YOL143C	0.00254226	0.99174829
RDN5-1	0.565772858	0.626814222
YIL045W	0.373517007	0.004122879
YML045W-A		
YGL209W	-0.265803978	0.142520922
YPL189C-A	0.067860392	0.773135713
YDL112W	-0.030081041	0.856099616
YLR159C-A		
YEL014C	0.008179986	0.988983199
YGL256W	0.026927604	0.879032362
YLR180W	-0.044845673	0.787190635
YPR124W	0.047882726	0.78987578
YML048W	0.02846623	0.843802687
YDR194C	0.007978059	0.958335214
YLR066W	0.118896064	0.514262747
YGR130C	0.006672698	0.962853934
YPL073C	0.168442277	0.852914057
tV(AAC)M1	0.683494914	0.785739855
YML079W	0.018614346	0.933762973
YDL219W	0.112748407	0.609610324
YGR273C	0.223858581	0.856099616
YGR054W	-0.181070767	0.212853431
tQ(UUG)D1	2.169722414	
YDL159W-A	0.820362139	
YDL035C	-0.078767188	0.536994322
YMR124W	-0.248113308	0.016861848
YJR146W	0.385835201	0.202553239
YML086C	-0.172742233	0.080247805
YDR427W	0.080803649	0.62349262
YBR157C	-0.145532937	0.310231898
YBR098W	0.11171862	0.574397109
YLL015W	-0.057796418	0.643873423
YDL040C	-0.121176384	0.344703622
YPR089W	-0.173952463	0.106392005
YIR023C-A	0.100532088	0.885716537
YDR524C-A	-1.317958239	
YDL048C	-0.482809273	3.62e-05
YMR021C	-0.060222614	0.728034576
YLR173W	-0.115777188	0.471269296
YDR149C	1.451466629	
YDR357C	0.139814859	0.543215245
YGL175C	-0.347642069	0.394834777
YGR183C	-0.049438253	0.864153619
YPL205C	-0.293316922	0.599217635
YPL093W	0.020505425	0.881116791
YOR047C	-0.52097812	0.001692726
YOR065W	-0.424935487	1.21e-08
YPL218W	0.097847687	0.571984711
YPL059W	0.060673006	0.771472109
YCR095C	0.107218049	0.449967068
YBR286W	0.066820537	0.626814222
YOR214C	0.549231951	0.461059163
tM(CAU)C		
YER152C	0.019905436	0.919046841
YGR015C	-0.267145521	0.19808758
YLL032C	-0.059607844	0.778268322
YBL091C	-0.068735188	0.617509459
YKR064W	0.017939282	0.931815236
YNL236W	-0.248383294	0.125028039
YOR136W	0.056615805	0.781765282
YJR140C	0.032331868	0.821999837
YGL093W	-0.048819069	0.773368257
YDR356W	0.166439298	0.236678925
YPR159W	-0.177990589	0.073379795
YER124C	0.094402678	0.428938018
YOR193W	0.105622519	0.568720615
YBR238C	-0.086731616	0.791611198
YLR446W	-0.04873433	0.816098907
YGR219W	0.147414107	0.735167994
YPR128C	0.12147106	0.437173508
YER140W	0.12120792	0.375261175
YBL005W-B	0.389947441	0.26723851
YMR209C	0.013659243	0.941167788
YPL150W	0.034603836	0.819044242
YHR077C	0.012604893	0.927224909
YIL014C-A	0.11072523	0.642136504
YMR013W-A		
YJR116W	0.457910062	0.007854285
YNL010W	0.131962779	0.495450493
YHR116W	0.104276904	0.65579081
YGL026C	-0.090739716	0.432634511
YIL062C	0.052765066	0.834624126
YNR070W	-0.254785721	0.073334532
tI(UAU)L	-0.22914936	
YDR246W	-0.078063346	0.714067687
YBR146W	0.082568585	0.626623514
YKL129C	-0.226037057	0.07133811
YNL131W	0.119831804	0.558681116
YKR034W	0.633433004	0.124686483
YMR114C	0.094210282	0.540855619
YOR293W	0.107031151	0.859581326
YLR184W	-0.421185561	
YJL087C	-0.108342643	0.413371419
YNL015W	0.028545343	0.951206024
YMR326C		
YNL088W	0.073212278	0.587372641
YMR199W	-0.199573498	0.134040978
YPL137C	-0.201053606	0.068957613
YFL046W	0.085950052	0.753107855
YDR195W	-0.147936038	0.301986982
YDR108W	0.064207275	0.773135713
YLR087C	-0.062456895	0.680099284
YBR169C	-0.251849835	0.074077245
YKR072C	-0.017428839	0.936643718
YHR214W	-1.116140895	0.322895066
YLR333C	0.082608306	0.782082
YER011W	0.598258403	0.05576743
YOR363C	-0.06072754	0.756370267
YPL236C	-0.1776564	0.224458053
snR78	-0.22660882	0.830848306
YGL101W	0.170092074	0.198820652
YLL023C	0.050418872	0.811672859
YHR168W	-0.344132696	0.003149748
YOR156C	-0.403697603	0.024243117
YDR007W	0.059683169	0.77335811
YNL155W	0.126024919	0.490931289
YBL101C	-0.273140141	0.061726944
YEL064C	-0.163919397	0.355160732
