	log2fc	p-val 
Valine	0.529693954	0.387801239
Glutamate	-0.669851398	0.023994311
Lysine	0.178803153	0.18973474
Glutamine	-0.070676746	0.531679758
Arginine	-0.090765464	0.326164235
Fructose-6-Phosphate	-0.153746532	0.554052301
D-Malic acid	1.301169535	0.063217353
Alanine	0.452822162	0.033563829
Glutathione disulfide	-0.429392792	0.210173577
Aspartate	0.394440595	0.142021774
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Inosine	1.321928095	0.052712799
Asparagine 	-0.1740294	0.146911661
Leucine	0.339486466	0.56515044
Fumarate	1.101582776	0.002665504
Pyruvate	-0.062541466	0.692554609
