	log2fc	p-val 
Citric acid	1.394278939	0.012665628
Valine	0.529693954	0.387801239
Glutamate	-0.669851398	0.023994311
Adenine	0.382145618	0.422732474
Glutamine	-0.070676746	0.531679758
Asparagine 	-0.1740294	0.146911661
Uracil	0.592739851	0.302592278
Acetoacetate	0.690044547	0.184730578
alpha-ketoglutarate	0.442943496	0.309423425
Inosine	1.321928095	0.052712799
CoenzymeA	-1.245306813	0.036937349
Pyruvate	-0.062541466	0.692554609
Glutathione disulfide	-0.429392792	0.210173577
Fructose-6-Phosphate	-0.153746532	0.554052301
ATP	-1.181997834	0.104145111
Lactose	0.126830022	0.727564205
Lysine	0.178803153	0.18973474
Alanine	0.452822162	0.033563829
Fumarate	1.101582776	0.002665504
Succinate	1.555566089	0.039402047
D-Malic acid	1.301169535	0.063217353
Glucose	0.653243768	0.326518995
Fructose	0.11321061	0.702549414
Adenosine	0.461904104	0.19337773
Fructose-1,6Bisphosphate	-0.533873729	0.074608202
Leucine	0.339486466	0.56515044
Hypoxanthine	-0.121990524	0.276087319
Arginine	-0.090765464	0.326164235
